Id,Каталог,Наименование,Подробное описание,Цена 1,Вывод,Артикул,Характеристики,Приоритет,Заголовок,Meta description,Meta keywords,Маленькое изображение,Большое изображение,Подтип,Подчиненные товары,Склад,Вес,Единица измерения,Цвет,Услуги,Путь каталога
25697,,Вх. Конус + Вых. Полый шпонка,,630000,1,UG-031-8,,8,,,,,/UserFiles/Image/Catalog/conechniki/КШпонка.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25696,,Вх. Цилиндр + Вых. Полый шпонка,,630000,1,UG-031-7,,7,,,,,/UserFiles/Image/Catalog/conechniki/ЦШпонка.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25695,,Вх. Конус + Вых. Полый шлицы,,840000,1,UG-031-6,,6,,,,,/UserFiles/Image/Catalog/conechniki/КШлиц.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25694,,Вх. Цилиндр + Вых. Полый шлицы,,840000,1,UG-031-5,,5,,,,,/UserFiles/Image/Catalog/conechniki/ЦШлиц.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25693,,Вх. Цилиндр + Вых. Конус,,420000,1,UG-031-4,,4,,,,,/UserFiles/Image/Catalog/conechniki/ЦК.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25692,,Вх. Конус + Вых. Цилиндр,,420000,1,UG-031-3,,3,,,,,/UserFiles/Image/Catalog/conechniki/КЦ.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25691,,Вх. Цилиндр + Вых. Цилиндр,,630000,1,UG-031-2,,2,,,,,/UserFiles/Image/Catalog/conechniki/ЦЦ.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25690,,Вх. Конус + Вых. Конус,,210000,1,UG-031-1,,1,,,,,/UserFiles/Image/Catalog/conechniki/КК.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/КЦ2-1300
25663,,Редуктор КЦ2-1300-УХЛ 28 43,,4704000,1,,,15,Редуктор КЦ2-1300-УХЛ 28 43,Редуктор КЦ2-1300-УХЛ 28 43,"КЦ2,редуктор,1000,редуктор КЦ2-1300-УХЛ 28 43",,,1,28,124,0,шт.,43,0,УХЛ/Конические УХЛ
25662,,Редуктор КЦ2-1300-УХЛ 28 42,,4670400,1,,,14,Редуктор КЦ2-1300-УХЛ 28 42,Редуктор КЦ2-1300-УХЛ 28 42,"КЦ2,редуктор,1000,редуктор КЦ2-1300-УХЛ 28 42",,,1,28,124,0,шт.,42,0,УХЛ/Конические УХЛ
25661,,Редуктор КЦ2-1300-УХЛ 28 41,,4636800,1,,,13,Редуктор КЦ2-1300-УХЛ 28 41,Редуктор КЦ2-1300-УХЛ 28 41,"КЦ2,редуктор,1000,редуктор КЦ2-1300-УХЛ 28 41",,,1,28,124,0,шт.,41,0,УХЛ/Конические УХЛ
25660,,Редуктор КЦ2-1300-УХЛ 20 43,,4603200,1,,,12,Редуктор КЦ2-1300-УХЛ 20 43,Редуктор КЦ2-1300-УХЛ 20 43,"КЦ2,редуктор,1000,редуктор КЦ2-1300-УХЛ 20 43",,,1,20,124,0,шт.,43,0,УХЛ/Конические УХЛ
