Id,Каталог,Наименование,Подробное описание,Цена 1,Вывод,Артикул,Характеристики,Приоритет,Заголовок,Meta description,Meta keywords,Маленькое изображение,Большое изображение,Подтип,Подчиненные товары,Склад,Вес,Единица измерения,Цвет,Услуги,Путь каталога
38999,,Вх. Конус + Вых. Муфта,,0,1,UG-038-9,,10,,,,,/UserFiles/Image/Catalog/conechniki/КМуфт.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38998,,Вх. Цилиндр + Вых. Муфта,,0,1,UG-038-8,,9,,,,,/UserFiles/Image/Catalog/conechniki/ЦМуфт.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38997,,Вх. Конус + Вых. Полый шпонка,,0,1,UG-038-7,,8,,,,,/UserFiles/Image/Catalog/conechniki/КШпонка.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38996,,Вх. Цилиндр + Вых. Полый шпонка,,0,1,UG-038-6,,7,,,,,/UserFiles/Image/Catalog/conechniki/ЦШпонка.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38995,,Вх. Конус + Вых. Полый шлицы,,0,1,UG-038-5,,6,,,,,/UserFiles/Image/Catalog/conechniki/КШлиц.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38994,,Вх. Цилиндр + Вых. Полый шлицы,,0,1,UG-038-4,,5,,,,,/UserFiles/Image/Catalog/conechniki/ЦШлиц.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38993,,Вх. Цилиндр + Вых. Конус,,0,1,UG-038-3,,4,,,,,/UserFiles/Image/Catalog/conechniki/ЦК.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38992,,Вх. Конус + Вых. Цилиндр,,0,1,UG-038-2,,3,,,,,/UserFiles/Image/Catalog/conechniki/КЦ.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38991,,Вх. Цилиндр + Вых. Цилиндр,,0,1,UG-038-1,,2,,,,,/UserFiles/Image/Catalog/conechniki/ЦЦ.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38990,,Вх. Конус + Вых. Конус,,0,1,UG-038-0,,1,,,,,/UserFiles/Image/Catalog/conechniki/КК.svg ,0,,124,0,шт.,,0,Скрытые/Услуги/мпо1м
38211,,"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-УХЛ",,126020,1,,,52,"Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-УХЛ","Мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-УХЛ","мпо,ксс,мпо1м,мпо1м-10,мотор,редуктор,мотор-редуктор МПО1М-10-5,74-7,5/250-Ф2П-УХЛ",,,1,"5,74-7,5/250",124,0,шт.,Ф2П,0,УХЛ/Агрегаты УХЛ
